current_model,file_path,purpose,duplicated_concepts,policy_encoded_in_name,proposed_target,fields_kept,fields_to_boundary_claims,fields_to_role_or_mode,deprecated_or_removed,security_implications,tests_required,migration_phase,classification,priority
ProductLedgerLocalApprovalDecisionSnapshot,src/OneBrain.Core/Approval/ProductLedgerLocalApprovalDecisionStateStore.cs,Approval decision state,"Decision State Blockers Request Snapshot","Local",LocalOnlyResult<ApprovalDecision>,"decision id operator decision candidate action evidence refs","scope exposure commandExecutionAllowed publicProductAllowed productionAllowed",none,none,Must remain state only not execution,Tier 1 Approval ProductLedger safety,D2,merge,High
ProductLedgerLocalApprovedActionExecutionSnapshot,src/OneBrain.Core/Approval/ProductLedgerLocalApprovedActionNoOpExecutor.cs,Approved no-op execution state,"Decision State Blockers Request Snapshot","Local NoOp",LocalOnlyResult<ApprovedAction>,"action id candidate state evidence refs","scope commandExecutionAllowed publicProductAllowed cloudAllowed","CapabilityMode=NoOp",none,No-op must not become real command execution,Tier 1 plus route checks if surfaced,D2,merge,High
ProductLedgerLocalBoundedApprovedActionSnapshot,src/OneBrain.Core/Approval/ProductLedgerLocalBoundedApprovedActionExecutor.cs,Bounded local approved action marker,"Decision State Kind Blockers Request Snapshot","Local Bounded",LocalOnlyResult<ApprovedAction>,"action id candidate state evidence refs","scope commandExecutionAllowed publicProductAllowed cloudAllowed","CapabilityMode=BoundedNonDestructive",none,Bounded marker must remain non-destructive,Tier 1 ProductLedger safety,D2,merge,High
ProductLedgerLocalApprovedHandoffReportDraftSnapshot,src/OneBrain.Core/Approval/ProductLedgerLocalApprovedHandoffReportDraftExecutor.cs,Local approved handoff draft,"Decision State ActionKind Blocker Options Request Snapshot","Local Draft",LocalOnlyResult<HandoffDraft>,"draft id relative path evidence hash safe content summary","scope mutability writeMode exposure path boundary","EvidenceRole=HandoffDraft WriterMode=CreateOnly",per-node duplicate blocker enum future,Create-only and path confinement must stay explicit,Tier 1 path redaction plus Tier 3 corpus,D4,merge,High
ProductLedgerLocalWorkspaceTestJailHandoffDraftSnapshot,src/OneBrain.Core/Approval/ProductLedgerLocalWorkspaceTestJailHandoffDraftExecutor.cs,Workspace test-jail draft,"Decision State ActionKind Blocker Options Request Snapshot","Local TestJail CreateOnly",LocalOnlyResult<WorkspaceDraft>,"draft id relative path evidence hash","scope mutability writeMode environment path boundary","EvidenceRole=WorkspaceDraft WriterMode=CreateOnly Scope=TestJail",per-node duplicate blocker enum future,Do not broaden test jail boundary,Tier 1 path plus Tier 3 traversal,D4,merge,High
ProductLedgerLocalUserWorkspaceAllowlistedHandoffDraftSnapshot,src/OneBrain.Core/Approval/ProductLedgerLocalUserWorkspaceAllowlistedHandoffDraftExecutor.cs,Allowlisted workspace draft,"Decision State ActionKind Blocker Options Request Snapshot","Local UserWorkspaceAllowlisted CreateOnly",LocalOnlyResult<WorkspaceDraft>,"draft id allowlisted relative path evidence hash","scope mutability writeMode environment path boundary","EvidenceRole=WorkspaceDraft WriterMode=CreateOnly Scope=WorkspaceAllowlisted",per-node duplicate blocker enum future,Do not allow arbitrary user-selected path,Tier 1 path plus Tier 3 traversal,D4,merge,High
ProductLedgerLocalOperatorSurfaceLatestStateSnapshotResult,src/OneBrain.Core/Approval/ProductLedgerLocalOperatorSurfaceLatestStateSnapshotExecutor.cs,Latest-state snapshot evidence,"Decision State ActionKind Blocker Options Request Result Payload","Local LatestState Snapshot CreateOnly",LatestStateEvidence,"id refs hashes safe summary blockers","scope authority precedence exposure mutability","EvidenceRole=Snapshot WriterMode=CreateOnly",per-node duplicate payload wrappers future,Snapshot remains historical evidence only,Tier 1 latest-state plus Tier 2 route,D3,merge,High
ProductLedgerLocalOperatorSurfaceLatestStateManifestResult,src/OneBrain.Core/Approval/ProductLedgerLocalOperatorSurfaceLatestStateManifestWriter.cs,Latest-state manifest evidence,"Decision State ActionKind Blocker Options Request Result Entry Payload","Local LatestState Manifest CreateOnly",LatestStateEvidence,"manifest id refs hashes entries safe summary blockers","scope authority precedence exposure mutability","EvidenceRole=Manifest WriterMode=VersionedCreateOnly",per-node duplicate payload wrappers future,Manifest must not become latest pointer,Tier 1 latest-state plus Tier 2 route,D3,merge,High
ProductLedgerLocalDurableLatestStateReaderCandidateResult,src/OneBrain.Core/Approval/ProductLedgerLocalDurableLatestStateReaderCandidateValidator.cs,Reader candidate validation,"Decision State Blocker Options Request Validation Result","Local Durable ReaderCandidate",LatestStateEvidence,"candidate id refs hashes stale tamper validation blockers","scope authority precedence exposure","EvidenceRole=ReaderCandidate Authority=Candidate Precedence=Candidate",none,Reader candidate must not become product authority,Tier 1 not-authority latest-state,D3,merge,High
ProductLedgerLocalDurableLatestStateAuxiliaryEvidenceResult,src/OneBrain.Core/Approval/ProductLedgerLocalDurableLatestStateAuxiliaryEvidencePresenter.cs,Auxiliary evidence presenter,"Decision State Blocker Options Request Validation Result","Local Durable Auxiliary NotAuthority NotPrecedence",LatestStateEvidence,"auxiliary id refs stale tamper safe summary blockers","scope authority precedence exposure","EvidenceRole=Auxiliary Authority=None Precedence=None",none,Auxiliary must remain not authority and not precedence,Tier 1 not-precedence latest-state,D3,merge,High
DurableAuditTrailAppendOnlyMinimalResult,src/OneBrain.Core/Approval/DurableAuditTrailAppendOnlyMinimal.cs,Append-only minimal durable audit trail,"Decision RejectReason Policy Request Entry Result Verification","Minimal AppendOnly",EvidenceLedgerResult,"entry hash sequence verification redaction proof","mutability writeMode environment authority","WriterMode=AppendOnly",minimal suffix future,Durable minimal remains test/local evidence not product authority,Tier 1 durable audit trail,D5,simplify,Medium
DurableAuditTrailAppendOnlyCandidateResult,src/OneBrain.Core/Approval/DurableAuditTrailAppendOnlyCandidate.cs,Candidate durable audit trail preview,"Decision BlockReason GateState Request Preview Counts Result","Candidate AppendOnly",EvidenceLedgerResult,"preview counts gate state blockers","authority mutability environment","WriterMode=AppendOnly Authority=Candidate",candidate suffix future,Candidate must not imply product authority,Tier 1 durable audit trail,D5,simplify,Medium
ProductLedgerPathWriterScaffoldResult,src/OneBrain.Core/Approval/ProductLedgerPathWriterScaffoldDisabled.cs,Disabled writer scaffold,"Decision Blocker Request Result","WriterScaffold Disabled",EvidenceLedgerResult,"blockers status safe next step","writeMode exposure authority","WriterMode=Disabled",standalone disabled scaffold future,Disabled must remain fail-closed until replaced,Tier 1 writer scaffold,D5,delete-candidate future,Medium
ProductLedgerPathLocalTempWriterResult,src/OneBrain.Core/Approval/ProductLedgerPathLocalTempWriterTestOnly.cs,Local temp test writer,"Decision Blocker Request Entry Checkpoint Result","LocalTemp TestOnly",EvidenceLedgerResult,"entry checkpoint hash sequence blockers","scope environment writeMode mutability","WriterMode=AppendOnly Environment=LocalTempTestOnly",per-mode duplicate result future,Local-temp only must not become active product path,Tier 1 writer path plus Tier 3 tamper,D5,merge,High
ProductLedgerPathLocalOnlyAppendResult,src/OneBrain.Core/Approval/ProductLedgerPathLocalOnlyActiveWriter.cs,Local-only active writer append,"ActivationDecision WriterDecision Blocker ActivationRequest AppendRequest Entry Checkpoint AppendResult","LocalOnly Active",EvidenceLedgerResult,"entry checkpoint hash sequence redaction retention metadata","scope environment writeMode mutability cloudAllowed","WriterMode=AppendOnly Environment=LocalInternal",per-mode duplicate result future,Active writer remains local-only bounded,Tier 1 writer path plus Tier 3 tamper,D5,merge,High
ProductLedgerLocalDevRoutePreviewResult,src/OneBrain.Core/Approval/ProductLedgerLocalDevRoutePreview.cs,Local dev route preview,"Decision Blocker Request Result nested states","LocalDev Route Preview",OperatorSurfaceReadModel,"route template nested local state safe html claims","scope exposure productionAllowed publicProductAllowed","SurfaceMode=LocalDevInternal",route-specific result future,Route remains Development/internal only,Tier 2 route DOM,D2,merge,Medium
ProductLedgerRenderableOperatorSurfaceResult,src/OneBrain.Core/Approval/ProductLedgerRenderableOperatorSurface.cs,Renderable operator surface,"Decision Blocker Request ActionModel SurfaceModel Result","Renderable OperatorSurface",OperatorSurfaceReadModel,"sections actions disabled actions statuses evidence refs","scope exposure productionAllowed releaseCommercialAllowed","SurfaceMode=Renderable",duplicate surface model future,Surface must not show product action authority,Tier 2 route DOM,D2,merge,Medium
ProductLedgerInternalOperatorUiPreviewResult,src/OneBrain.Core/Approval/ProductLedgerInternalOperatorUiPreview.cs,Internal operator UI preview,"Decision Severity Blocker Request Header Section ActionPreview ViewModel Result","Internal UI Preview",OperatorSurfaceReadModel,"header sections actions severities warnings","scope exposure productionAllowed publicProductAllowed","SurfaceMode=InternalPreview",duplicate view model future,Internal preview must remain internal,Tier 2 operator UI,D2,merge,Medium
ProductLedgerOperatorSurfaceReadModelSnapshot,src/OneBrain.Core/Approval/ProductLedgerOperatorSurfaceReadModelProvider.cs,Operator surface read model source snapshot,"SourceKind Source Snapshot","ReadModel Source",OperatorSurfaceReadModel,"source kind snapshot status evidence refs","scope environment exposure","ReadModelSource=FixtureSafe or LocalDev",none,Do not overclaim product authority from read model,Tier 2 route read model,D2,keep,Medium
ProductLedgerPathReadinessResult,src/OneBrain.Core/Approval/ProductLedgerPathReadinessScaffold.cs,Path readiness scaffold,"Decision Blocker RiskPreview ReadinessResult","Readiness Scaffold",GuardEvaluationResult,"risk previews blockers safe next step","scope authority cloudAllowed kmsWormExternalTrustAllowed releaseCommercialAllowed","GuardCategory=PathReadiness",duplicate blockers future,Readiness is not activation,Tier 1 static guard,D2,merge,Medium
ProductLedgerInternalCommandPreviewResult,src/OneBrain.Core/Approval/ProductLedgerInternalCommandPreviewRouter.cs,Internal command preview,"Decision CommandKind Blocker Request Preview Result","Internal Command Preview",GuardEvaluationResult,"command kind preview blockers disabled action evidence","commandExecutionAllowed publicProductAllowed productionAllowed","CapabilityMode=PreviewOnly",none,Preview must not become command handler,Tier 1 command no-enable plus Tier 2 UI,D2,freeze/merge,Medium
RedactionBeforePersistenceResult,src/OneBrain.Core/Approval/RedactionBeforePersistenceService.cs,Redaction safety result,"Decision Reason Policy Evidence Result","Redaction Before Persistence",KeepSeparateService,"decision reason safe candidate hash evidence","n/a","n/a",none,Do not merge service into optional envelope; only reference its decision,Tier 1 redaction tests,DoNotMerge,freeze,High
ProductLedgerPathCanonicalizationResult,src/OneBrain.Core/Approval/ProductLedgerPathCanonicalizationValidator.cs,Path canonicalization result,"Decision Blocker Request Result","Path Canonicalization",KeepSeparateValidator,"canonical path decision blockers","n/a","n/a",none,Do not hide path validation behind generic claims,Tier 1 path canonicalization,DoNotMerge,freeze,High
